,price,ranks,title,no_of_reviews,ratings,author,cover_type,year
0,17.00,1,The Lost Symbol,"28,387",4.3,Dan Brown,Hardcover,2009
1,10.43,2,The Shack: Where Tragedy Confronts Eternity,"40,923",4.6,William P. Young,Paperback,2009
2,16.32,3,Liberty and Tyranny: A Conservative Manifesto,"5,306",4.8,Mark R. Levin,Hardcover,2009
3,9.38,4,"Breaking Dawn (The Twilight Saga, Book 4)","24,901",4.7,Stephenie Meyer,Hardcover,2009
4,10.00,5,Going Rogue: An American Life,"1,599",4.6,Sarah Palin,Hardcover,2009
5,20.96,6,StrengthsFinder 2.0,Gallup,4.1,,Hardcover,2009
6,15.94,7,The Help,"32,363",4.7,Kathryn Stockett,Hardcover,2009
7,19.99,8,New Moon (The Twilight Saga),"20,399",4.6,Stephenie Meyer,Paperback,2009
8,69.99,9,The Twilight Saga Collection,"6,840",4.7,Stephenie Meyer,Hardcover,2009
9,15.69,10,Outliers: The Story of Success,"35,368",4.6,Malcolm Gladwell,Hardcover,2009
10,16.79,11,Eclipse (Twilight),"19,919",4.7,Stephenie Meyer,Hardcover,2009
11,15.91,12,"Twilight (The Twilight Saga, Book 1)","34,220",4.7,Stephenie Meyer,Paperback,2009
12,9.90,13,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine","1,428",4.5,Glenn Beck,Paperback,2009
13,15.00,14,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,"4,205",4.3,Greg Mortenson,Paperback,2009
14,12.99,15,The Love Dare,"3,456",4.8,Stephen Kendrick,Paperback,2009
15,20.97,16,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment","8,402",4.5,Steve Harvey,Hardcover,2009
16,13.94,17,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)","14,549",4.6,Jeff Kinney,Hardcover,2009
17,26.11,18,Under the Dome: A Novel,"12,832",4.4,Stephen King,Hardcover,2009
18,12.90,19,The Guernsey Literary and Potato Peel Pie Society,"36,619",4.6,Mary Ann Shaffer,Paperback,2009
19,17.90,20,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,949,4.5,David Zinczenko,Paperback,2009
20,9.64,21,Arguing with Idiots: How to Stop Small Minds and Big Government,910,4.6,Glenn Beck,Hardcover,2009
21,31.49,22,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook","8,046",4.8,Julia Child,Hardcover,2009
22,59.99,23,Sookie Stackhouse,"1,000",4.7,Charlaine Harris,Mass Market Paperback,2009
23,12.95,24,The Time Traveler's Wife,"10,530",4.4,Audrey Niffenegger,Paperback,2009
24,19.78,25,"Publication Manual of the American Psychological Association, 6th Edition","12,910",4.5,American Psychological Association,Paperback,2009
25,12.48,26,True Compass: A Memoir,577,4.5,Edward M. Kennedy,Hardcover,2009
26,10.99,27,The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),"30,923",4.5,Stieg Larsson,Paperback,2009
27,11.69,28,The 5000 Year Leap,"2,619",4.8,W. Cleon Skousen,Paperback,2009
28,14.55,29,Good to Great: Why Some Companies Make the Leap and Others Don't,"8,256",4.5,Jim Collins,Hardcover,2009
29,,30,Eclipse (Twilight Sagas),"19,919",4.7,Stephenie Meyer,Paperback,2009
30,12.90,1,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),"24,773",4.6,Stieg Larsson,Hardcover,2009
31,10.99,2,The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),"30,923",4.5,Stieg Larsson,Paperback,2009
32,15.65,3,Decision Points,"2,755",4.6,George W. Bush,Hardcover,2009
33,15.94,4,The Help,"32,363",4.7,Kathryn Stockett,Hardcover,2009
34,10.55,5,The Girl Who Played with Fire: A Lisbeth Salander Novel (The Girl with the Dragon Tattoo Series),"24,975",4.6,Stieg Larsson,Paperback,2009
35,8.66,6,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)","18,866",4.7,Jeff Kinney,Hardcover,2009
36,20.96,7,StrengthsFinder 2.0,Gallup,4.1,,Hardcover,2009
37,11.26,8,Mockingjay (The Hunger Games),"75,799",4.6,Suzanne Collins,Hardcover,2009
38,12.68,9,Women Food and God: An Unexpected Path to Almost Everything,"2,618",4.4,Geneen Roth,Hardcover,2009
39,19.78,10,"Publication Manual of the American Psychological Association, 6th Edition","12,910",4.5,American Psychological Association,Paperback,2009
40,21.00,11,"Autobiography of Mark Twain, Vol. 1",624,4.4,Mark Twain,Hardcover,2009
41,15.66,12,The Big Short: Inside the Doomsday Machine,"15,822",4.6,Michael Lewis,Hardcover,2009
42,12.49,13,Food Rules: An Eater's Manual,"4,435",4.4,Michael Pollan,Paperback,2009
43,15.68,14,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","75,136",4.7,Laura Hillenbrand,Hardcover,2009
44,9.98,15,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)","5,037",4.6,Charlaine Harris,Hardcover,2009
45,14.99,16,Sh*t My Dad Says,"1,806",4.7,Justin Halpern,Hardcover,2009
46,14.87,17,Crazy Love: Overwhelmed by a Relentless God,"2,247",4.7,Francis Chan,Paperback,2009
47,13.08,18,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),"6,883",4.7,Stephenie Meyer,Hardcover,2009
48,,19,Life,"7,170",4.5,Keith Richards,Hardcover,2009
49,11.29,20,Cutting for Stone,"12,860",4.6,Abraham Verghese,Paperback,2009
50,15.18,21,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,589,4.5,Jon Stewart,Hardcover,2009
51,,22,The Official SAT Study Guide,The College Board,4.4,,Paperback,2009
52,11.25,23,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime","1,920",4.5,John Heilemann,Hardcover,2009
53,16.50,24,The Immortal Life of Henrietta Lacks,"27,319",4.6,Rebecca Skloot,Hardcover,2009
54,14.04,25,"The Lost Hero (Heroes of Olympus, Book 1)","23,622",4.7,Rick Riordan,Hardcover,2009
55,14.03,26,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,876,4.5,Doug Lemov,Paperback,2009
56,15.69,27,Outliers: The Story of Success,"35,368",4.6,Malcolm Gladwell,Hardcover,2009
57,14.62,28,"Catching Fire (Hunger Games, Book Two): Volume 2","61,120",4.7,Suzanne Collins,Hardcover,2009
58,22.23,29,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,4.6,,Hardcover,2009
59,14.55,30,Good to Great: Why Some Companies Make the Leap and Others Don't,"8,256",4.5,Jim Collins,Hardcover,2009
60,17.33,1,Steve Jobs,"22,978",4.7,Walter Isaacson,Hardcover,2010
61,10.49,2,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"24,835",4.6,Todd Burpo,Paperback,2010
62,,3,"Cabin Fever (Diary of a Wimpy Kid, Book 6)","20,481",4.7,Jeff Kinney,Hardcover,2010
63,20.96,4,StrengthsFinder 2.0,Gallup,4.1,,Hardcover,2010
64,,5,The Hunger Games (Book 1),"76,522",4.7,Suzanne Collins,Paperback,2010
65,15.68,6,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","75,136",4.7,Laura Hillenbrand,Hardcover,2010
66,15.00,7,Inheritance: Book IV (Inheritance Cycle),"16,742",4.7,Christopher Paolini,Hardcover,2010
67,14.35,8,Go the F**k to Sleep,"21,988",4.8,Adam Mansbach,Hardcover,2010
68,11.26,9,Mockingjay (The Hunger Games),"75,799",4.6,Suzanne Collins,Hardcover,2010
69,42.84,10,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,"8,359",4.7,George R.R. Martin,Mass Market Paperback,2010
70,14.62,11,"Catching Fire (Hunger Games, Book Two): Volume 2","61,120",4.7,Suzanne Collins,Hardcover,2010
71,15.00,12,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,,Hardcover,2010
72,16.00,13,A Dance with Dragons (A Song of Ice and Fire),"47,170",4.6,George R. R. Martin,Hardcover,2010
73,11.39,14,"The Son of Neptune (Heroes of Olympus, Book 2)","25,114",4.8,Rick Riordan,Hardcover,2010
74,11.26,15,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),"15,036",4.6,Bill O'Reilly,Hardcover,2010
75,19.78,16,"Publication Manual of the American Psychological Association, 6th Edition","12,910",4.5,American Psychological Association,Paperback,2010
76,12.62,17,The Help,"32,363",4.7,Kathryn Stockett,Paperback,2010
77,8.88,18,The Immortal Life of Henrietta Lacks,"27,319",4.6,Rebecca Skloot,Paperback,2010
78,28.88,19,11/22/63: A Novel,"3,279",4.8,Stephen King,Hardcover,2010
79,,20,The Official SAT Study Guide,The College Board,4.4,,Paperback,2010
80,8.89,21,"Jesus Calling, Padded Hardcover, with Scripture references","39,395",4.9,Sarah Young,Hardcover,2010
81,60.00,22,The Hunger Games Trilogy Boxed Set,"43,306",4.8,Suzanne Collins,Hardcover,2010
82,11.29,23,Cutting for Stone,"12,860",4.6,Abraham Verghese,Paperback,2010
83,8.75,24,Tina Fey: Bossypants,"19,969",4.3,Tina Fey,Hardcover,2010
84,15.96,25,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman","8,180",4.4,Timothy Ferriss,Hardcover,2010
85,15.65,26,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.3,,Hardcover,2010
86,,27,The 5 Love Languages: The Secret to Love That Lasts,"4,912",4.7,Gary Chapman,Paperback,2010
87,14.87,28,Crazy Love: Overwhelmed by a Relentless God,"2,247",4.7,Francis Chan,Paperback,2010
88,17.00,29,A Stolen Life: A Memoir,Jaycee Dugard,4.6,,Hardcover,2010
89,12.90,30,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),"24,773",4.6,Stieg Larsson,Hardcover,2010
90,13.99,1,"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series, 1)","111,129",4.2,E L James,Paperback,2010
91,13.99,2,Fifty Shades Darker,"75,359",4.5,E L James,Paperback,2010
92,13.88,3,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)","61,570",4.5,E L James,Paperback,2010
93,,4,The Hunger Games (Book 1),"76,522",4.7,Suzanne Collins,Paperback,2010
94,20.96,5,StrengthsFinder 2.0,Gallup,4.1,,Hardcover,2010
95,21.59,6,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),"69,265",4.6,E L James,Paperback,2010
96,14.62,7,"Catching Fire (Hunger Games, Book Two): Volume 2","61,120",4.7,Suzanne Collins,Hardcover,2010
97,11.26,8,Mockingjay (The Hunger Games),"75,799",4.6,Suzanne Collins,Hardcover,2010
98,10.53,9,"The Third Wheel (Diary of a Wimpy Kid, Book 7)","20,133",4.7,Jeff Kinney,Hardcover,2010
99,23.85,10,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,"14,132",4.6,Mark Owen,Hardcover,2010
100,60.00,11,The Hunger Games Trilogy Boxed Set,"43,306",4.8,Suzanne Collins,Hardcover,2010
101,14.99,12,Gone Girl,"159,888",4.1,Gillian Flynn,Hardcover,2010
102,11.46,13,"The Mark of Athena (Heroes of Olympus, Book 3)","30,886",4.8,Rick Riordan,Hardcover,2010
103,,14,The Official SAT Study Guide,The College Board,4.4,,Paperback,2010
104,42.84,15,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,"8,359",4.7,George R.R. Martin,Mass Market Paperback,2010
105,16.44,16,Killing Kennedy: The End of Camelot,"15,431",4.5,Bill O'Reilly,Hardcover,2010
106,19.78,17,"Publication Manual of the American Psychological Association, 6th Edition","12,910",4.5,American Psychological Association,Paperback,2010
107,11.26,18,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),"15,036",4.6,Bill O'Reilly,Hardcover,2010
108,15.68,19,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","75,136",4.7,Laura Hillenbrand,Hardcover,2010
109,9.99,20,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.4,,Paperback,2010
110,,21,The 5 Love Languages: The Secret to Love That Lasts,"4,912",4.7,Gary Chapman,Paperback,2010
111,18.29,22,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,"2,478",4.8,Ina Garten,Hardcover,2010
112,19.47,23,"Thinking, Fast and Slow","39,285",4.6,Daniel Kahneman,Hardcover,2010
113,16.99,24,The Casual Vacancy,"20,179",3.6,J.K. Rowling,Hardcover,2010
114,10.59,25,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,"23,833",4.7,Jonathan Cahn,Paperback,2010
115,21.08,26,The Power of Habit: Why We Do What We Do in Life and Business,"36,496",4.6,Charles Duhigg,Hardcover,2010
116,17.33,27,Steve Jobs,"22,978",4.7,Walter Isaacson,Hardcover,2010
117,13.16,28,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health","10,793",4.4,William Davis,Hardcover,2010
118,8.96,29,"Oh, the Places You'll Go!  ","45,644",4.9,Dr. Seuss,Hardcover,2010
119,20.00,30,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,,Paperback,2010
120,20.96,1,StrengthsFinder 2.0,Gallup,4.1,,Hardcover,2011
121,11.00,2,"Lean In: Women, Work, and the Will to Lead","16,972",4.5,Sheryl Sandberg,Hardcover,2011
122,,3,"Diary of a Wimpy Kid: Hard Luck, Book 8","25,519",4.6,Jeff Kinney,Hardcover,2011
123,11.82,4,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),"10,132",4.9,Rush Limbaugh,Hardcover,2011
124,8.89,5,"Jesus Calling, Padded Hardcover, with Scripture references","39,395",4.9,Sarah Young,Hardcover,2011
125,15.69,6,Inferno,"80,989",4.2,Dan Brown,Hardcover,2011
126,12.20,7,"The House of Hades (Heroes of Olympus, Book 4)","33,417",4.8,Rick Riordan,Hardcover,2011
127,11.95,8,"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]","11,064",4.6,Charles Krauthammer,Hardcover,2011
128,7.10,9,"Great Gatsby, the; (Us Import Ed.)","14,097",4.4,F. Scott Fitzgerald,Paperback,2011
129,19.39,10,Killing Jesus (Bill O'Reilly's Killing Series),"20,981",4.5,Bill O'Reilly,Hardcover,2011
130,9.99,11,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.4,,Paperback,2011
131,141.08,12,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5","12,812",4.7,American Psychiatric Association,Paperback,2011
132,,13,The Official SAT Study Guide,The College Board,4.4,,Paperback,2011
133,11.06,14,The Fault in Our Stars,John Green,4.6,,Hardcover,2011
134,7.83,15,The Book Thief,"65,550",4.6,Markus Zusak,Paperback,2011
135,9.40,16,Wonder,"82,598",4.7,R. J. Palacio,Hardcover,2011
136,,17,The 5 Love Languages: The Secret to Love That Lasts,"4,912",4.7,Gary Chapman,Paperback,2011
137,19.78,18,"Publication Manual of the American Psychological Association, 6th Edition","12,910",4.5,American Psychological Association,Paperback,2011
138,12.46,19,Divergent,"17,524",4.7,Veronica Roth,Paperback,2011
139,4.99,20,Laugh-Out-Loud Jokes for Kids,"11,598",4.6,Rob Elliott,Paperback,2011
140,8.96,21,"Oh, the Places You'll Go!  ","45,644",4.9,Dr. Seuss,Hardcover,2011
141,16.65,22,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants","13,375",4.4,Malcolm Gladwell,Hardcover,2011
142,42.84,23,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,"8,359",4.7,George R.R. Martin,Mass Market Paperback,2011
143,8.95,24,Allegiant,"66,453",4.1,Veronica Roth,Hardcover,2011
144,14.25,25,And the Mountains Echoed,"39,223",4.3,Khaled Hosseini,Hardcover,2011
145,15.67,26,Humans of New York,"5,550",4.8,Brandon Stanton,Hardcover,2011
146,25.10,27,The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,,Hardcover,2011
147,14.11,28,Doctor Sleep: A Novel,"40,440",4.6,Stephen King,Hardcover,2011
148,4.99,29,Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),"5,903",4.5,Rob Elliott,Paperback,2011
149,18.50,30,The Goldfinch: A Novel (Pulitzer Prize for Fiction),"122,729",4.1,Donna Tartt,Hardcover,2011
150,20.96,1,StrengthsFinder 2.0,Gallup,4.1,,Hardcover,2011
151,9.01,2,Frozen (Little Golden Book),RH Disney,4.7,,Hardcover,2011
152,4.99,3,Laugh-Out-Loud Jokes for Kids,"11,598",4.6,Rob Elliott,Paperback,2011
153,7.83,4,The Fault in Our Stars,John Green,4.6,,Paperback,2011
154,9.99,5,Diary of a Wimpy Kid: The Long Haul,"29,335",4.6,Jeff Kinney,Hardcover,2011
155,20.50,6,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,"28,909",4.6,Randall Munroe,Hardcover,2011
156,11.48,7,The Blood of Olympus (The Heroes of Olympus),"41,165",4.8,Rick Riordan,Hardcover,2011
157,8.89,8,"Jesus Calling, Padded Hardcover, with Scripture references","39,395",4.9,Sarah Young,Hardcover,2011
158,12.49,9,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","75,136",4.7,Laura Hillenbrand,Paperback,2011
159,6.99,10,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,4.6,,Paperback,2011
160,9.40,11,The Day the Crayons Quit,"22,155",4.8,Drew Daywalt,Hardcover,2011
161,12.46,12,Divergent,"17,524",4.7,Veronica Roth,Paperback,2011
162,11.06,13,The Fault in Our Stars,John Green,4.6,,Hardcover,2011
163,8.96,14,"Oh, the Places You'll Go!  ","45,644",4.9,Dr. Seuss,Hardcover,2011
164,21.47,15,To Kill a Mockingbird,"128,056",4.7,Harper Lee,Mass Market Paperback,2011
165,12.90,16,Gone Girl,"159,888",4.1,Gillian Flynn,Paperback,2011
166,7.83,17,The Book Thief,"65,550",4.6,Markus Zusak,Paperback,2011
167,,18,The Official SAT Study Guide,The College Board,4.4,,Paperback,2011
168,15.67,19,Humans of New York,"5,550",4.8,Brandon Stanton,Hardcover,2011
169,18.50,20,The Goldfinch: A Novel (Pulitzer Prize for Fiction),"122,729",4.1,Donna Tartt,Hardcover,2011
170,141.08,21,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5","12,812",4.7,American Psychiatric Association,Paperback,2011
171,9.40,22,Wonder,"82,598",4.7,R. J. Palacio,Hardcover,2011
172,9.90,23,The Book with No Pictures,"18,629",4.8,B. J. Novak,Hardcover,2011
173,10.99,24,Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),"5,445",4.9,Rush Limbaugh,Hardcover,2011
174,,25,The 5 Love Languages: The Secret to Love That Lasts,"4,912",4.7,Gary Chapman,Paperback,2011
175,4.99,26,Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),"5,903",4.5,Rob Elliott,Paperback,2011
176,7.11,27,JOURNEY TO THE ICE P,"1,096",4.6,RH Disney,Paperback,2011
177,19.78,28,"Publication Manual of the American Psychological Association, 6th Edition","12,910",4.5,American Psychological Association,Paperback,2011
178,,29,Little Blue Truck,"1,965",4.9,Alice Schertle,Board book,2011
179,18.29,30,Make It Ahead: A Barefoot Contessa Cookbook,"2,380",4.6,Ina Garten,Hardcover,2011
180,4.78,1,First 100 Words: A Padded Board Book,"36,473",4.7,Roger Priddy,Board book,2012
181,8.89,2,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,,Hardcover,2012
182,4.99,3,Laugh-Out-Loud Jokes for Kids,"11,598",4.6,Rob Elliott,Paperback,2012
183,13.95,4,Secret Garden: An Inky Treasure Hunt and Coloring Book for Adults,"15,325",4.7,Johanna Basford,Paperback,2012
184,20.96,5,StrengthsFinder 2.0,Gallup,4.1,,Hardcover,2012
185,16.88,6,Go Set a Watchman: A Novel,"52,136",3.8,Harper Lee,Hardcover,2012
186,12.15,7,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints)","8,234",4.7,Johanna Basford,Paperback,2012
187,18.99,8,All the Light We Cannot See,"212,202",4.5,Anthony Doerr,Hardcover,2012
188,12.67,9,The Girl on the Train,"376,233",4.1,Paula Hawkins,Hardcover,2012
189,6.91,10,Adult Coloring Book: Stress Relieving Patterns,"4,311",4.5,Blue Star Coloring,Paperback,2012
190,11.00,11,Diary of a Wimpy Kid #10: Old School,"30,680",4.7,Jeff Kinney,Hardcover,2012
191,21.47,12,To Kill a Mockingbird,"128,056",4.7,Harper Lee,Mass Market Paperback,2012
192,7.99,13,Adult Coloring Book: Stress Relieving Animal Designs,"3,973",4.6,Blue Star Coloring,Paperback,2012
193,8.49,14,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns","3,175",4.5,Coloring Books for Adults,Paperback,2012
194,15.96,15,Humans of New York : Stories,"5,326",4.9,Brandon Stanton,Hardcover,2012
195,10.41,16,The Martian,"169,468",4.6,Andy Weir,Paperback,2012
196,8.96,17,"Oh, the Places You'll Go!  ","45,644",4.9,Dr. Seuss,Hardcover,2012
197,4.99,18,Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),"5,903",4.5,Rob Elliott,Paperback,2012
198,5.00,19,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,,Board book,2012
199,9.40,20,The Day the Crayons Quit,"22,155",4.8,Drew Daywalt,Hardcover,2012
200,14.05,21,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"81,459",4.6,Daniel James Brown,Paperback,2012
201,8.89,22,"Jesus Calling, Padded Hardcover, with Scripture references","39,395",4.9,Sarah Young,Hardcover,2012
202,12.98,23,Mindset: The New Psychology of Success,"26,367",4.6,Carol S. Dweck,Paperback,2012
203,12.76,24,"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades Of Grey Series, 4)","117,361",4.5,E L James,Paperback,2012
204,5.99,25,Creative Haven Creative Cats Coloring Book (Adult Coloring),"5,182",4.8,Marjorie Sarnat,Paperback,2012
205,10.30,26,How to Win Friends & Influence People (Dale Carnegie Books),"105,360",4.7,Dale Carnegie,Paperback,2012
206,8.39,27,The 5 Love Languages: The Secret to Love that Lasts,"88,081",4.8,Gary Chapman,Paperback,2012
207,11.95,28,Balance (Angie’s Extreme Stress Menders),"2,283",4.6,Angie Grace,Paperback,2012
208,5.38,29,Creative Haven Owls Coloring Book (Adult Coloring),"5,288",4.7,Marjorie Sarnat,Paperback,2012
209,32.00,30,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,,Hardcover,2012
210,11.42,1,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script","94,511",4.3,J.K. Rowling,Hardcover,2012
211,20.96,2,StrengthsFinder 2.0,Gallup,4.1,,Hardcover,2012
212,4.78,3,First 100 Words: A Padded Board Book,"36,473",4.7,Roger Priddy,Board book,2012
213,8.89,4,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,,Hardcover,2012
214,8.96,5,"Oh, the Places You'll Go!  ","45,644",4.9,Dr. Seuss,Hardcover,2012
215,13.99,6,Diary of a Wimpy Kid #11: Double Down,"27,712",4.7,Jeff Kinney,Hardcover,2012
216,18.17,7,When Breath Becomes Air,"98,107",4.7,Paul Kalanithi,Hardcover,2012
217,5.94,8,Giraffes Can't Dance,Giles Andreae,4.8,,Board book,2012
218,8.39,9,The 5 Love Languages: The Secret to Love that Lasts,"88,081",4.8,Gary Chapman,Paperback,2012
219,15.68,10,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,,Hardcover,2012
220,12.54,11,A Man Called Ove: A Novel,"180,735",4.6,Fredrik Backman,Paperback,2012
221,15.80,12,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),"19,855",4.7,Bill O'Reilly,Hardcover,2012
222,10.30,13,How to Win Friends & Influence People (Dale Carnegie Books),"105,360",4.7,Dale Carnegie,Paperback,2012
223,14.10,14,The Magnolia Story,"14,000",4.8,Chip Gaines,Hardcover,2012
