title,author,rating,rank,number_of_reviews,price,cover_type,year
The Magnolia Story,Chip Gaines,4.8,14,"14,000",14.10,Hardcover,2012
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,15,"11,598",4.99,Paperback,2012
To Kill a Mockingbird,Harper Lee,4.7,16,"128,056",21.47,Mass Market Paperback,2012
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.3,17,"81,524",14.63,Hardcover,2012
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,18,"13,286",13.55,Hardcover,2012
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,19,"14,107",26.13,Hardcover,2012
The Girl on the Train,Paula Hawkins,4.1,20,"376,233",10.33,Paperback,2012
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,21,"26,367",12.98,Paperback,2012
"The Official SAT Study Guide, 2016 Edition",The College Board,4.4,22,"1,109",,Paperback,2012
,,4.5,23,"3,146",8.99,Paperback,2012
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,24,"105,354",7.74,Paperback,2012
Milk and Honey,Rupi Kaur,4.7,25,"59,014",7.83,Paperback,2012
The Going To Bed Book,Sandra Boynton,4.8,26,"16,779",3.97,Board book,2012
Born to Run,Bruce Springsteen,4.6,27,"12,810",16.99,Hardcover,2012
Alexander Hamilton,Ron Chernow,4.7,28,"31,572",11.50,Paperback,2012
The Very Hungry Caterpillar,Eric Carle,4.9,29,"58,022",6.56,Board book,2012
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,30,"9,345",20.80,Paperback,2012
Wonder,R. J. Palacio,4.7,1,"82,598",9.40,Hardcover,2013
Milk and Honey,Rupi Kaur,4.7,2,"59,014",7.83,Paperback,2013
Giraffes Can't Dance,,4.8,3,Giles Andreae,5.94,Board book,2013
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,4,"130,364",14.09,Hardcover,2013
The Getaway,Jeff Kinney,4.8,5,"23,511",7.72,Hardcover,2013
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.4,6,"13,211",11.12,Paperback,2013
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.3,7,"81,524",14.63,Hardcover,2013
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,8,"23,155",9.99,Hardcover,2013
First 100 Words: A Padded Board Book,Roger Priddy,4.7,9,"36,473",4.78,Board book,2013
The Whole30: The 30-Day Guide to Total Health and Food Freedom,,4.6,10,Melissa Hartwig Urban,15.68,Hardcover,2013
The Handmaid's Tale,Margaret Atwood,4.3,11,"150,558",9.53,Paperback,2013
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,12,"88,081",8.39,Paperback,2013
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,13,"44,668",8.89,Paperback,2013
What Happened,Hillary Rodham Clinton,4.6,14,"8,421",14.72,Hardcover,2013
"Oh, the Places You'll Go!  ",Dr. Seuss,4.9,15,"45,644",8.96,Hardcover,2013
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,,4.7,16,Admiral William H. McRaven,11.58,Hardcover,2013
1984,George Orwell,4.6,17,"103,530",7.48,Mass Market Paperback,2013
How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,4.7,18,"105,360",10.30,Paperback,2013
Origin: A Novel (Robert Langdon),Dan Brown,4.4,19,"71,524",15.99,Hardcover,2013
A Man Called Ove: A Novel,Fredrik Backman,4.6,20,"180,735",12.54,Paperback,2013
The Sun and Her Flowers,Rupi Kaur,4.8,21,"18,442",8.89,Paperback,2013
Dear Zoo: A Lift-the-Flap Book,,4.8,22,Rod Campbell,5.00,Board book,2013
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23,"105,354",7.74,Paperback,2013
The Going To Bed Book,Sandra Boynton,4.8,24,"16,779",3.97,Board book,2013
StrengthsFinder 2.0,,4.1,25,Gallup,20.96,Hardcover,2013
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,26,"27,406",9.40,Hardcover,2013
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,27,"40,923",10.43,Paperback,2013
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,,4.5,28,Marie Kondō,8.89,Hardcover,2013
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,29,"4,293",16.98,Hardcover,2013
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),,4.6,30,Thug Kitchen,32.00,Hardcover,2013
Becoming,Michelle Obama,4.8,1,"140,241",19.59,Hardcover,2013
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,2,"27,935",16.00,Hardcover,2013
The Wonky Donkey,Craig Smith,4.8,3,"78,894",5.28,Paperback,2013
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,4,"22,005",7.66,Hardcover,2013
Fear: Trump in the White House,Bob Woodward,4.5,5,"11,470",13.22,Hardcover,2013
Last Week Tonight with John Oliver Presents: A Day in the Life of Marlon Bundo (HBO),Jill Twiss,4.9,6,"15,274",16.99,Hardcover,2013
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,7,"72,836",15.94,Hardcover,2013
Magnolia Table,Joanna Gaines,4.8,8,"33,646",16.59,Hardcover,2013
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with Stephen Colbert,4.6,9,"10,032",10.02,Hardcover,2013
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,10,"130,364",14.09,Hardcover,2013
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,11,"9,426",6.14,Hardcover,2013
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,12,"29,738",6.98,Paperback,2013
Diary of a Wimpy Kid #13: Meltdown,Jeff Kinney,4.8,13,"25,410",8.79,Hardcover,2013
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,14,"88,081",8.39,Paperback,2013
First 100 Words: A Padded Board Book,Roger Priddy,4.7,15,"36,473",4.78,Board book,2013
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,16,"17,263",,Hardcover,2013
Educated: A Memoir,Tara Westover,4.7,17,"97,873",14.69,Hardcover,2013
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,18,"44,668",8.89,Paperback,2013
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",,4.4,19,Dr. Steven R Gundry  MD,16.49,Hardcover,2013
Giraffes Can't Dance,,4.8,20,Giles Andreae,5.94,Board book,2013
D&D Player’s Handbook (Dungeons & Dragons Core Rulebook),,4.9,21,Dungeons & Dragons,26.10,Hardcover,2013
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,22,"11,328",20.90,Hardcover,2013
The Very Hungry Caterpillar,Eric Carle,4.9,23,"58,022",6.56,Board book,2013
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,24,"52,375",10.00,Paperback,2013
The Hate U Give: A Printz Honor Winner,Angie Thomas,4.7,25,"31,409",12.14,Hardcover,2013
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.4,26,"13,211",11.12,Paperback,2013
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,27,"105,354",7.74,Paperback,2013
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,28,"27,406",9.40,Hardcover,2013
P is for Potty! (Sesame Street) (Lift-the-Flap),,4.7,29,Naomi Kleinberg,5.68,Board book,2013
The Pout-Pout Fish,Deborah Diesen,4.8,30,"25,361",4.98,Board book,2013
Where the Crawdads Sing,Delia Owens,4.8,1,"429,983",14.69,Hardcover,2014
Becoming,Michelle Obama,4.8,2,"140,241",19.59,Hardcover,2014
Educated: A Memoir,Tara Westover,4.7,3,"97,873",14.69,Hardcover,2014
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,4,"24,569",6.79,Hardcover,2014
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,5,"27,935",16.00,Hardcover,2014
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,6,"29,490",7.76,Hardcover,2014
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.9,7,"18,982",8.96,Hardcover,2014
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8,"27,406",9.40,Hardcover,2014
"School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)",School Zone,4.8,9,"69,773",,Paperback,2014
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,10,"88,081",8.39,Paperback,2014
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,11,"14,496",18.00,Hardcover,2014
The Wonky Donkey,Craig Smith,4.8,12,"78,894",5.28,Paperback,2014
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,13,"130,364",14.09,Hardcover,2014
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,14,"30,467",6.99,Paperback,2014
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,15,"21,671",27.98,Hardcover,2014
The Very Hungry Caterpillar,Eric Carle,4.9,16,"58,022",6.56,Board book,2014
"What Should Danny Do? (The Power to Choose Series) (The Power to Choose, 1)",Adir Levy,4.8,17,"22,975",11.99,Hardcover,2014
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,18,"17,810",17.44,Hardcover,2014
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,19,"33,079",6.99,Paperback,2014
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,20,"105,354",7.74,Paperback,2014
Unfreedom of the Press,Mark R. Levin,4.9,21,"9,355",,Hardcover,2014
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,22,"19,793",8.99,Hardcover,2014
Giraffes Can't Dance,,4.8,23,Giles Andreae,5.94,Board book,2014
If Animals Kissed Good Night,Ann Whitford Paul,4.8,24,"72,084",4.19,Board book,2014
"Oh, the Places You'll Go!  ",Dr. Seuss,4.9,25,"45,644",8.96,Hardcover,2014
Howard Stern Comes Again,Howard Stern,4.5,26,"8,064",21.00,Hardcover,2014
Guts: A Graphic Novel,Raina Telgemeier,4.8,27,"14,444",6.24,Paperback,2014
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,,4.5,28,Marie Kondō,8.89,Hardcover,2014
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,29,"25,993",29.98,Hardcover,2014
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,30,"18,562",13.07,Hardcover,2014
Diary of a Wimpy Kid Do-it-yourself Book,Jeff Kinney,4.8,51,"9,930",19.49,Hardcover,2014
Open: An Autobiography,Andre Agassi,4.6,52,"19,292",21.53,Hardcover,2014
Pride and Prejudice and Zombies,,4.2,53,Jane Austen,12.19,Paperback,2014
Cook Yourself Thin: Skinny Meals You Can Make in Minutes,"Lifetime Television,",4.3,54,912,15.52,Paperback,2014
Hungry Girl: 200 Under 200: 200 Recipes Under 200 Calories,Lisa Lillien,4.4,55,907,18.51,Paperback,2014
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,4.7,56,"23,333",17.74,Hardcover,2014
A Bold Fresh Piece of Humanity,Bill O'Reilly,4.6,57,860,8.06,Hardcover,2014
The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Ree Drummond,4.8,58,"5,699",13.24,Hardcover,2014
The Book Thief,Markus Zusak,4.6,59,"65,550",7.83,Paperback,2014
South of Broad,Pat Conroy,4.5,60,"3,959",16.99,Hardcover,2014
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,4.6,61,"5,143",10.33,Paperback,2014
The Host,Stephenie Meyer,4.6,62,"13,117",18.18,Hardcover,2014
Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!,Jillian Michaels,4.3,63,"1,028",13.19,Hardcover,2014
Ford County: Stories,John Grisham,4.3,64,"7,704",15.34,Hardcover,2014
"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies",Michelle Malkin,4.6,65,"1,118",11.00,Hardcover,2014
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,4.5,66,"12,714",13.42,Paperback,2014
"Diary of a Wimpy Kid, Book 1",Jeff Kinney,4.6,67,"26,482",11.47,Hardcover,2014
The Graveyard Book,Neil Gaiman,4.6,68,"13,722",9.82,Hardcover,2014
An Echo in the Bone (Outlander),Diana Gabaldon,4.7,69,"33,705",27.44,Hardcover,2014
"The Gathering Storm (Wheel of Time, Book 12)",Robert Jordan,4.8,70,"12,551",19.99,Hardcover,2014
Dreams from My Father: A Story of Race and Inheritance,Barack Obama,4.7,71,"10,434",12.98,Paperback,2014
Pirate Latitudes: A Novel,Michael Crichton,4.2,72,"6,501",16.23,Hardcover,2014
The Official SAT Study Guide: For the New SAT (tm),,4.5,73,The College Board,,Paperback,2014
Getting Things Done: The Art of Stress-Free Productivity,David Allen,4.5,74,"5,229",18.85,Paperback,2014
How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,4.7,75,"105,360",10.30,Paperback,2014
The Official SAT Study Guide,,4.4,76,The College Board,,Paperback,2014
Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels),Janet Evanovich,4.5,77,"7,020",11.97,Hardcover,2014
Sarah's Key,Tatiana de Rosnay,4.5,78,"10,972",12.94,Paperback,2014
From Dead to Worse (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,79,"3,191",7.99,Mass Market Paperback,2014
Wolf Hall,Hilary Mantel,4.2,80,"19,606",19.07,Hardcover,2014
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,,4.6,51,Stephen R. Covey,20.00,Paperback,2015
Cleopatra: A Life,Stacy Schiff,4.2,52,"2,213",12.52,Hardcover,2015
Freedom: A Novel,Jonathan Franzen,4.2,53,"5,720",18.18,Hardcover,2015
Freedom,Jonathan Franzen,4.2,54,"5,720",13.69,Hardcover,2015
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,4.7,55,"23,333",17.74,Hardcover,2015
Fall of Giants (The Century Trilogy),Ken Follett,4.4,56,"51,154",23.19,Hardcover,2015
"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,4.4,57,"14,913",10.39,Paperback,2015
"Eat Pray Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,4.4,58,"14,913",11.99,Paperback,2015
Tao I: The Way of All Life,,4.4,59,Zhi Gang Sha Dr.,19.51,Hardcover,2015
Chelsea Chelsea Bang Bang,Chelsea Handler,4.4,60,"1,518",9.25,Hardcover,2015
Let the Great World Spin: A Novel,Colum McCann,4.3,61,"3,570",9.41,Paperback,2015
The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Ree Drummond,4.8,62,"5,699",13.24,Hardcover,2015
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,63,"8,041",15.98,Paperback,2015
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,4.6,64,"5,143",10.33,Paperback,2015
The Belly Fat Cure: Discover the New Carb Swap System™ and Lose 4 to 9 lbs. Every Week,Jorge Cruise,4.1,65,"1,107",19.99,Spiral-bound,2015
"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4)",Rick Riordan,4.8,66,"27,798",7.99,Paperback,2015
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Timothy Ferriss,4.5,67,"25,295",13.79,Hardcover,2015
"Full Dark, No Stars",Stephen King,4.5,68,"5,719",18.50,Hardcover,2015
Sizzling Sixteen (Stephanie Plum Novels),Janet Evanovich,4.5,69,"7,168",,Hardcover,2015
The Grand Design,Stephen Hawking,4.4,70,"4,061",23.89,Hardcover,2015
The Overton Window ,Glenn Beck,4.5,71,"1,422",17.20,Hardcover,2015
"Jesus Calling, Padded Hardcover, with Scripture references",Sarah Young,4.9,72,"39,395",8.89,Hardcover,2015
Spoken from the Heart,Laura Bush,4.6,73,830,12.50,Hardcover,2015
Diary of a Wimpy Kid Do-it-yourself Book,Jeff Kinney,4.8,74,"9,930",19.49,Hardcover,2015
The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,Mark Nepo,4.7,75,"4,369",22.42,Paperback,2015
"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",Julia Child,4.8,76,"8,046",31.49,Hardcover,2015
Safe Haven,Nicholas Sparks,4.6,77,"15,035",15.80,Hardcover,2015
"Change Your Brain, Change Your Body: Use Your Brain to Get and Keep the Body You Have Always Wanted",Daniel G. Amen,4.4,78,924,19.47,Hardcover,2015
"The Kind Diet: A Simple Guide to Feeling Great, Losing Weight, and Saving the Planet",Alicia Silverstone,4.5,79,"1,677",,Hardcover,2015
Decoded,Jay-Z,4.7,80,"1,759",30.81,Hardcover,2015
The Best of Me,Nicholas Sparks,4.5,51,"15,768",18.31,Hardcover,2015
Jacqueline Kennedy: Historic Conversations on Life with John F. Kennedy,,4.3,52,Jacqueline Kennedy,11.75,Hardcover,2015
The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),Stieg Larsson,4.5,53,"30,923",10.99,Paperback,2015
The Greater Journey: Americans in Paris,David McCullough,4.5,54,"2,435",20.00,Hardcover,2015
Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,55,"5,453",19.32,Hardcover,2015
Every Thing On It,Shel Silverstein,4.9,56,"1,853",11.99,Hardcover,2015
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,4.3,57,"36,613",10.49,Hardcover,2015
Moonwalking With Einstein: The Art and Science of Remembering Everything,Joshua Foer,4.5,58,"9,639",14.63,Hardcover,2015
"Great Gatsby, the; (Us Import Ed.)",F. Scott Fitzgerald,4.4,59,"14,097",7.10,Paperback,2015
The Help,Kathryn Stockett,4.7,60,"32,363",15.94,Hardcover,2015
1Q84: A novel,Haruki Murakami,4.4,61,"8,963",26.59,Hardcover,2015
Boomerang: Travels in the New Third World,Michael Lewis,4.4,62,"3,252",14.84,Hardcover,2015
Who Moved My Cheese,Spencer Johnson,4.6,63,"24,135",11.35,Hardcover,2015
"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",Tom Rath,4.5,64,"2,571",22.99,Hardcover,2015
Elder Scrolls V: Skyrim: Prima Official Game Guide,,4.6,65,David Hodgson,107.99,Paperback,2015
The Glass Castle: A Memoir (book),Jeannette Walls,4.6,66,"37,750",11.24,Paperback,2015
The Book Thief,Markus Zusak,4.6,67,"65,550",7.83,Paperback,2015
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Timothy Ferriss,4.5,68,"25,295",13.79,Hardcover,2015
"Oh, the Places You'll Go!  ",Dr. Seuss,4.9,69,"45,644",8.96,Hardcover,2015
Through My Eyes,Tim Tebow,4.6,70,"1,236",13.58,Hardcover,2015
The Land of Painted Caves: A Novel (Earth's Children),Jean M. Auel,4.2,71,"9,393",16.91,Hardcover,2015
"The Social Animal: The Hidden Sources of Love, Character, and Achievement",David Brooks,4.4,72,"1,199",19.90,Hardcover,2015
A Guide to the Project Management Body of Knowledge,Project Management Institute,4.5,73,748,23.88,Paperback,2015
Guinness World Records 2012,Guinness World Records,4.5,74,508,21.39,Hardcover,2015
State of Wonder,Ann Patchett,4.3,75,"9,526",23.79,Hardcover,2015
A Visit from the Goon Squad,Jennifer Egan,4.0,76,"9,877",13.53,Paperback,2015
"Prevent And Reverse Heart Disease: The Revolutionary, Scientifically Proven, Nutrition-Based Cure",,4.6,77,Caldwell B. Esselstyn Jr.,15.39,Paperback,2015
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.9,78,"109,389",38.97,Paperback,2015
Explosive Eighteen: A Stephanie Plum Novel (Stephanie Plum Novels),Janet Evanovich,4.5,79,"9,271",13.39,Hardcover,2015
The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide,Sean Covey,4.6,80,"12,832",10.95,Paperback,2015
The Smitten Kitchen Cookbook: Recipes and Wisdom from an Obsessive Home Cook,Deb Perelman,4.7,51,"1,943",18.29,Hardcover,2016
What to Expect When You're Expecting,Heidi Murkoff,4.8,52,"29,180",16.89,Paperback,2016
The Walking Dead: Compendium One,Robert Kirkman,4.8,53,"8,435",38.88,Paperback,2016
The Signal and the Noise: Why So Many Predictions Fail-But Some Don't,Nate Silver,4.4,54,"3,687",17.76,Hardcover,2016
How to Tell If Your Cat Is Plotting to Kill You (The Oatmeal) (Volume 2),The Oatmeal,4.5,55,"12,509",8.99,Paperback,2016
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.6,56,"47,170",16.00,Hardcover,2016
America Again: Re-becoming the Greatness We Never Weren't,Stephen Colbert,4.3,57,649,14.25,Hardcover,2016
LEGO NINJAGO: Character Encyclopedia,,4.5,58,DK Publishing,,Hardcover,2016
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.5,59,"42,279",16.63,Hardcover,2016
Outliers: The Story of Success,Malcolm Gladwell,4.6,60,"35,368",13.33,Paperback,2016
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.5,61,876,14.03,Paperback,2016
Bared to You,Sylvia Day,4.4,62,"31,736",14.98,Paperback,2016
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,63,"105,354",7.74,Paperback,2016
"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",Tom Rath,4.5,64,"2,571",22.99,Hardcover,2016
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,,4.3,65,Mike Moreno,15.00,Hardcover,2016
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,66,"2,247",14.87,Paperback,2016
Go the F**k to Sleep,Adam Mansbach,4.8,67,"21,988",14.35,Hardcover,2016
Bring Up the Bodies,Hilary Mantel,4.5,68,"18,352",16.35,Hardcover,2016
"Great by Choice: Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All (Good to Great, 5)",Jim Collins,4.6,69,"1,562",15.69,Hardcover,2016
Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss,,4.5,70,Joel Fuhrman MD,20.37,Mass Market Paperback,2016
"Reflected in You (Crossfire, Book 2)",Sylvia Day,4.6,71,"23,223",16.29,Paperback,2016
Who Moved My Cheese,Spencer Johnson,4.6,72,"24,135",11.35,Hardcover,2016
The Book Thief,Markus Zusak,4.6,73,"65,550",7.83,Paperback,2016
A Guide to the Project Management Body of Knowledge,Project Management Institute,4.5,74,748,23.88,Paperback,2016
"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,4.2,75,"8,989",17.99,Hardcover,2016
"Deadlocked (Sookie Stackhouse/True Blood, Book 12)",Charlaine Harris,4.5,76,"6,568",17.48,Hardcover,2016
