title,author,rating,rank,number_of_reviews,price,cover_type,year,genre
The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones,George R. R. Martin,4.7,67,"10,254",34.99,Hardcover,2017,Non Fiction
The Real ACT Prep Guide,,4.4,68,ACT,64.94,Paperback,2017,Non Fiction
Gray Mountain: A Novel,John Grisham,4.0,69,"85,588",15.0,Hardcover,2017,Non Fiction
What to Expect When You're Expecting,Heidi Murkoff,4.8,70,"29,180",16.89,Paperback,2017,Non Fiction
The Jesus Storybook Bible: Every Story Whispers His Name,Sally Lloyd-Jones,4.9,71,"12,376",12.99,Hardcover,2017,Fiction
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,72,"16,972",15.0,Hardcover,2017,Non Fiction
The Invention of Wings,Sue Monk Kidd,4.5,73,"53,289",13.92,Hardcover,2017,Non Fiction
Lord of the Flies,William Golding,4.5,74,"44,046",5.79,Mass Market Paperback,2017,Non Fiction
Night (Night),Elie Wiesel,4.7,75,"19,815",6.27,Paperback,2017,Non Fiction
The Catcher in the Rye,J.D. Salinger,4.5,76,"34,374",8.93,Mass Market Paperback,2017,Non Fiction
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual, Mental, Emotional, and Physical Bodies",Zhi Gang Sha,4.6,77,285,13.1,Hardcover,2017,Non Fiction
"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",,4.8,78,Valorie Schaefer,8.53,Paperback,2017,Non Fiction
"The Skinnytaste Cookbook: Light on Calories, Big on Flavor",Gina Homolka,4.7,79,"8,608",17.89,Hardcover,2017,Non Fiction
Fahrenheit 451,Ray Bradbury,4.6,80,"46,748",8.36,Paperback,2017,Fiction
Diary of a Minecraft Zombie Book 1: A Scare of A Dare (Minecraft Adventure),Zack Zombie,4.7,51,"18,112",6.71,Paperback,2017,Fiction
"Great Gatsby, the; (Us Import Ed.)",F. Scott Fitzgerald,4.4,52,"14,097",7.1,Paperback,2017,Fiction
Lost Ocean: An Inky Adventure and Coloring Book for Adults,Johanna Basford,4.7,53,"8,268",14.95,Paperback,2017,Fiction
"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",,4.6,54,Patrick Lencioni,22.23,Hardcover,2017,Fiction
The Official SAT Study Guide,,4.4,55,The College Board,,Paperback,2017,Fiction
10-Day Green Smoothie Cleanse,JJ Smith,4.7,56,"37,377",9.89,Paperback,2017,Fiction
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,4.7,57,"39,634",,Paperback,2017,Fiction
Chicka Chicka Boom Boom (Board Book),,4.9,58,Bill Martin Jr.,4.59,Board book,2017,Fiction
The Day the Crayons Came Home,Drew Daywalt,4.8,59,"5,722",13.18,Hardcover,2017,Fiction
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.6,60,"28,909",20.5,Hardcover,2017,Fiction
Paper Towns,John Green,4.2,61,"35,377",7.68,Paperback,2017,Fiction
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.7,62,"75,136",12.49,Paperback,2017,
Get What's Yours: The Secrets to Maxing Out Your Social Security (The Get What's Yours Series),Laurence J. Kotlikoff,4.2,63,"3,518",13.0,Hardcover,2017,Fiction
"Magnus Chase and the Gods of Asgard, Book 1: The Sword of Summer",Rick Riordan,4.6,64,"22,225",11.46,Hardcover,2017,Fiction
Dragons Love Tacos,Adam Rubin,4.8,65,"17,468",9.92,Hardcover,2017,Fiction
Fahrenheit 451,Ray Bradbury,4.6,66,"46,748",8.36,Paperback,2017,Fiction
"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",,4.8,67,Valorie Schaefer,8.53,Paperback,2017,Fiction
Potty (Leslie Patricelli board books),Leslie Patricelli,4.7,68,"13,553",7.99,Board book,2017,Fiction
Thing Explainer: Complicated Stuff in Simple Words,Randall Munroe,4.5,69,"4,321",20.49,Hardcover,2017,Fiction
Dead Wake: The Last Crossing of the Lusitania,Erik Larson,4.4,70,"30,836",16.03,Hardcover,2017,Fiction
The Going To Bed Book,Sandra Boynton,4.8,71,"16,779",3.97,Board book,2017,Fiction
"Inspiralized: Turn Vegetables into Healthy, Creative, Satisfying Meals: A Cookbook",Ali Maffucci,4.4,72,"3,837",12.99,Paperback,2017,Fiction
Mystical Mandala Coloring Book (Dover Mandala Coloring Books),Alberta Hutchinson,4.5,73,"2,978",3.99,Paperback,2017,Fiction
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.7,74,"12,812",141.08,Paperback,2017,Fiction
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,,4.6,75,DK,6.99,Paperback,2017,Fiction
The 20/20 Diet: Turn Your Weight Loss Vision Into Reality,,4.0,76,Phil McGraw,16.52,Hardcover,2017,Fiction
Night (Night),Elie Wiesel,4.7,77,"19,815",6.27,Paperback,2017,Fiction
What to Expect When You're Expecting,Heidi Murkoff,4.8,78,"29,180",16.89,Paperback,2017,Fiction
The Jesus Storybook Bible: Every Story Whispers His Name,Sally Lloyd-Jones,4.9,79,"12,376",12.99,Hardcover,2017,Fiction
The Road to Character,David Brooks,4.3,80,"5,957",14.63,Hardcover,2017,Non Fiction
Fahrenheit 451,Ray Bradbury,4.6,51,"46,748",8.36,Paperback,2018,Non Fiction
Love You Forever,Robert Munsch,4.9,52,"57,852",4.98,Paperback,2018,Non Fiction
"Great Gatsby, the; (Us Import Ed.)",F. Scott Fitzgerald,4.4,53,"14,097",7.1,Paperback,2018,Non Fiction
"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",,4.6,54,Patrick Lencioni,22.23,Hardcover,2018,Non Fiction
All the Light We Cannot See,Anthony Doerr,4.5,55,"212,202",18.99,Hardcover,2018,Non Fiction
"Brown Bear, Brown Bear, What Do You See?",,4.9,56,Bill Martin Jr.,4.94,Board book,2018,Non Fiction
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,4.6,57,"136,656",13.89,Paperback,2018,Non Fiction
"Fervent: A Woman's Battle Plan to Serious, Specific and Strategic Prayer",Priscilla Shirer,4.9,58,"10,515",10.52,Paperback,2018,Non Fiction
The Whistler,John Grisham,4.4,59,"66,258",15.68,Hardcover,2018,Non Fiction
If Animals Kissed Good Night,Ann Whitford Paul,4.8,60,"72,084",4.19,Board book,2018,Non Fiction
Cooking for Jeffrey: A Barefoot Contessa Cookbook,Ina Garten,4.7,61,"2,566",17.84,Hardcover,2018,Fiction
"The Trials of Apollo, Book 1: The Hidden Oracle",Rick Riordan,4.7,62,"21,462",11.2,Hardcover,2018,Fiction
Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),Rob Elliott,4.5,63,"5,903",4.99,Paperback,2018,Non Fiction
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),,4.8,64,Golden Books,4.02,Hardcover,2018,Non Fiction
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,4.7,65,"39,634",,Paperback,2018,Non Fiction
"Crisis of Character: A White House Secret Service Officer Discloses His Firsthand Experience with Hillary, Bill, and How They Operate",Gary J. Byrne,4.1,66,"12,402",14.25,Hardcover,2018,Fiction
First 100 Animals,Roger Priddy,4.8,67,"9,804",5.99,Board book,2018,Fiction
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns",Coloring Books for Adults,4.5,68,"3,175",8.49,Paperback,2018,Fiction
Goodnight Moon,Margaret Wise Brown,4.9,69,"26,577",5.36,Board book,2018,Fiction
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,70,"12,013",9.05,Paperback,2018,Fiction
Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children),Ransom Riggs,4.3,71,"36,613",8.89,Paperback,2018,Fiction
Grit: The Power of Passion and Perseverance,Angela Duckworth,4.6,72,"17,745",15.46,Hardcover,2018,Fiction
Emotional Intelligence 2.0,Travis Bradberry,4.5,73,"12,414",14.98,Hardcover,2018,Fiction
The Underground Railroad (Pulitzer Prize Winner) (National Book Award Winner) (Oprah's Book Club): A Novel,Colson Whitehead,4.4,74,"56,296",13.93,Hardcover,2018,Fiction
The Outsiders,S. E. Hinton,4.8,75,"35,112",8.46,Paperback,2018,Fiction
The Food Lab: Better Home Cooking Through Science,J. Kenji López-Alt,4.9,76,"9,595",27.99,Hardcover,2018,Fiction
Me Before You: A Novel (Movie Tie-In),Jojo Moyes,4.6,77,"1,234",17.95,Paperback,2018,Non Fiction
Chicka Chicka Boom Boom (Board Book),,4.9,78,Bill Martin Jr.,4.59,Board book,2018,Non Fiction
"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",,4.8,79,Valorie Schaefer,8.53,Paperback,2018,Non Fiction
Potty (Leslie Patricelli board books),Leslie Patricelli,4.7,80,"13,553",7.99,Board book,2018,Non Fiction
"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",,4.8,51,Valorie Schaefer,8.53,Paperback,2018,Non Fiction
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,4.7,52,"11,531",10.44,Paperback,2018,
Big Little Lies,Liane Moriarty,4.4,53,"156,404",15.23,Paperback,2018,Fiction
The Official SAT Study Guide,The College Board,4.5,54,"2,396",,Paperback,2018,Non Fiction
The Whole30 Cookbook: 150 Delicious and Totally Compliant Recipes to Help You Succeed with the Whole30 and Beyond,,4.6,55,Melissa Hartwig Urban,17.0,Hardcover,2018,Non Fiction
"Thinking, Fast and Slow",Daniel Kahneman,4.6,56,"39,285",11.29,Paperback,2018,Non Fiction
"Jesus Calling, Padded Hardcover, with Scripture references",Sarah Young,4.9,57,"39,395",8.89,Hardcover,2018,Non Fiction
What to Expect When You're Expecting,Heidi Murkoff,4.8,58,"29,180",12.7,Paperback,2018,Non Fiction
The Glass Castle: A Memoir (book),Jeannette Walls,4.6,59,"37,750",11.24,Paperback,2018,Non Fiction
"Great Gatsby, the; (Us Import Ed.)",F. Scott Fitzgerald,4.4,60,"14,097",7.1,Paperback,2018,Non Fiction
The Wisdom of Sundays: Life-Changing Insights from Super Soul Conversations,Oprah Winfrey,4.7,61,"2,629",14.17,Hardcover,2018,Non Fiction
P is for Potty! (Sesame Street) (Lift-the-Flap),,4.7,62,Naomi Kleinberg,5.68,Board book,2018,Non Fiction
The Rooster Bar,John Grisham,4.2,63,"22,305",15.25,Hardcover,2018,Non Fiction
The Giving Tree,Shel Silverstein,4.9,64,"30,387",10.74,Hardcover,2018,Non Fiction
She Persisted: 13 American Women Who Changed the World,Chelsea Clinton,4.8,65,"3,304",10.09,Hardcover,2018,Fiction
On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,4.7,66,"24,681",6.38,Paperback,2018,Fiction
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,4.6,67,"136,656",13.89,Paperback,2018,Non Fiction
Fahrenheit 451,Ray Bradbury,4.6,68,"46,748",8.36,Paperback,2018,Non Fiction
Camino Island: A Novel,John Grisham,4.3,69,"42,732",14.66,Hardcover,2018,Non Fiction
Turtles All the Way Down,John Green,4.6,70,"14,567",11.34,Hardcover,2018,Non Fiction
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,4.7,71,"39,634",,Paperback,2018,Non Fiction
Love You Forever,Robert Munsch,4.9,72,"57,852",4.98,Paperback,2018,Non Fiction
"The Pioneer Woman Cooks―Come and Get It!: Simple, Scrumptious Recipes for Crazy Busy Lives",Ree Drummond,4.8,73,"4,906",16.05,Hardcover,2018,Non Fiction
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,74,"26,367",12.98,Paperback,2018,Non Fiction
Where Is Baby's Belly Button? A Lift-the-Flap Book,Karen Katz,4.8,75,"13,291",5.0,Board book,2018,Non Fiction
Grant,Ron Chernow,4.8,76,"9,271",20.9,Hardcover,2018,Non Fiction
,,4.6,77,840,11.55,,2018,Non Fiction
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.6,78,"131,771",21.45,Hardcover,2018,Non Fiction
The Intelligent Investor Rev Ed.: The Definitive Book on Value Investing,Benjamin Graham,4.7,79,"37,463",17.98,Paperback,2018,Non Fiction
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",,4.4,80,Dr. Steven R Gundry  MD,16.49,Hardcover,2018,Non Fiction
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,4.6,51,"136,656",13.89,Paperback,2019,Non Fiction
Wonder,R. J. Palacio,4.7,52,"82,598",9.4,Hardcover,2019,Non Fiction
To Kill a Mockingbird,Harper Lee,4.7,53,"128,056",8.89,Paperback,2019,Non Fiction
The Whole30: The 30-Day Guide to Total Health and Food Freedom,,4.6,54,Melissa Hartwig Urban,15.68,Hardcover,2019,Non Fiction
The Keto Diet: The Complete Guide to a High-Fat Diet,Leanne Vogel,4.4,55,"7,565",18.29,Paperback,2019,Non Fiction
Everybody Always: Becoming Love in a World Full of Setbacks and Difficult People,Bob Goff,4.8,56,"6,852",11.29,Paperback,2019,Non Fiction
Before We Were Yours: A Novel,Lisa Wingate,4.7,57,"53,668",14.53,Hardcover,2019,Non Fiction
The Reckoning: A Novel,John Grisham,4.2,58,"29,947",15.68,Hardcover,2019,Non Fiction
"Brown Bear, Brown Bear, What Do You See?",,4.9,59,Bill Martin Jr.,4.94,Board book,2019,Non Fiction
Beneath a Scarlet Sky: A Novel,Mark Sullivan,4.7,60,"91,656",13.46,Paperback,2019,Non Fiction
What to Expect When You're Expecting,Heidi Murkoff,4.8,61,"29,180",12.7,Paperback,2019,Non Fiction
Principles: Life and Work,Ray Dalio,4.6,62,"13,585",16.59,Hardcover,2019,Non Fiction
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,63,"23,155",9.99,Hardcover,2019,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,64,"11,598",4.99,Paperback,2019,Non Fiction
"Medical Medium Liver Rescue: Answers to Eczema, Psoriasis, Diabetes, Strep, Acne, Gout, Bloating, Gallstones, Adrenal Stress, Fatigue, Fatty Liver, Weight Issues, SIBO & Autoimmune Disease",Anthony William,4.7,65,"11,425",17.51,Hardcover,2019,Non Fiction
The Official SAT Study Guide,The College Board,4.5,66,"2,396",,Paperback,2019,Non Fiction
Calm the F*ck Down: An Irreverent Adult Coloring Book,Sasha O'Hara,4.6,67,"21,282",4.99,Paperback,2019,Fiction
"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",,4.8,68,Valorie Schaefer,8.53,Paperback,2019,Non Fiction
The Outsider: A Novel,Stephen King,4.6,69,"32,830",15.68,Hardcover,2019,Fiction
Where the Crawdads Sing,Delia Owens,4.8,70,"429,983",14.69,Hardcover,2019,Fiction
D&D Dungeon Master’s Guide (Dungeons & Dragons Core Rulebook),,4.9,71,Dungeons & Dragons,27.97,Hardcover,2019,Fiction
Sapiens: A Brief History of Humankind,,4.6,72,Yuval Harari,14.5,Paperback,2019,Fiction
Love You Forever,Robert Munsch,4.9,73,"57,852",4.98,Paperback,2019,Fiction
Dragons Love Tacos,Adam Rubin,4.8,74,"17,468",9.92,Hardcover,2019,Non Fiction
The Woman in the Window: A Novel,A. J. Finn,4.4,75,"68,228",14.1,Hardcover,2019,Fiction
D&D Monster Manual (Dungeons & Dragons Core Rulebook),,4.9,76,Dungeons & Dragons,27.49,Hardcover,2019,Fiction
Simply Keto: A Practical Approach to Health & Weight Loss with 100+ Easy Low-Carb Recipes,Suzanne Ryan,4.6,77,"9,641",18.29,Paperback,2019,Fiction
StrengthsFinder 2.0,,4.1,78,Gallup,20.96,Hardcover,2019,Fiction
Extreme Ownership: How U.S. Navy SEALs Lead and Win (New Edition),Jocko Willink,4.8,79,"31,626",17.98,Hardcover,2019,Fiction
The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump,Gregg Jarrett,4.8,80,"4,808",14.98,Hardcover,2019,Fiction
Zen as F*ck (Zen as F*ck Journals),Monica Sweeney,4.7,51,"24,189",12.0,Paperback,2019,Fiction
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.7,52,"83,412",7.61,Mass Market Paperback,2019,Fiction
The Institute: A Novel,Stephen King,4.7,53,"40,001",16.99,Hardcover,2019,Fiction
The Testaments: The Sequel to The Handmaid's Tale,Margaret Atwood,4.6,54,"45,131",15.99,Hardcover,2019,Non Fiction
Super Deluxe Essential Handbook (Pokémon): The Need-to-Know Stats and Facts on Over 800 Characters,Scholastic,4.8,55,"21,187",14.99,Paperback,2019,Non Fiction
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.5,56,"20,938",6.99,Paperback,2019,Non Fiction
"Carson Dellosa Sight Words Flash Cards Kindergarten, First Words Flash Cards, High Frequency Vocabulary Words, and Picture Words Flash Cards for Toddlers Ages 4+",,4.8,57,Brighter Child,,Cards,2019,Non Fiction
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8,58,"101,451",13.49,Hardcover,2019,Fiction
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,,4.7,59,Admiral William H. McRaven,11.58,Hardcover,2019,
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,4.7,60,"39,634",,Paperback,2019,
Sapiens: A Brief History of Humankind,,4.6,61,Yuval Harari,14.5,Paperback,2019,Fiction
What to Expect When You're Expecting,Heidi Murkoff,4.8,62,"29,180",12.7,Paperback,2019,Fiction
Where the Crawdads Sing,Delia Owens,4.8,63,"429,983",11.81,Paperback,2019,Fiction
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,64,"12,013",9.05,Paperback,2019,Fiction
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,4.6,65,"136,656",13.89,Paperback,2019,Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,66,"12,910",19.78,Paperback,2019,Fiction
The Pout-Pout Fish,Deborah Diesen,4.8,67,"25,361",4.98,Board book,2019,Fiction
Talking to Strangers: What We Should Know about the People We Don't Know,Malcolm Gladwell,4.5,68,"17,081",15.68,Hardcover,2019,Fiction
Dear Zoo: A Lift-the-Flap Book,,4.8,69,Rod Campbell,5.0,Board book,2019,Fiction
The Overstory: A Novel,Richard Powers,4.4,70,"17,609",15.95,Paperback,2019,Fiction
Fahrenheit 451,Ray Bradbury,4.6,71,"46,748",8.36,Paperback,2019,Non Fiction
StrengthsFinder 2.0,,4.1,72,Gallup,20.96,Hardcover,2019,Non Fiction
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,73,"72,836",15.94,Hardcover,2019,Non Fiction
Eleanor Oliphant Is Completely Fine: A Novel,Gail Honeyman,4.5,74,"157,384",8.31,Paperback,2019,Non Fiction
Me: Elton John Official Autobiography,Elton John,4.8,75,"24,175",14.0,Hardcover,2019,Non Fiction
The Road Back to You: An Enneagram Journey to Self-Discovery,Ian Morgan Cron,4.7,76,"11,641",13.29,Hardcover,2019,Non Fiction
The Tattooist of Auschwitz: A Novel,Heather Morris,4.7,77,"122,384",9.39,Paperback,2019,Non Fiction
People of Walmart Adult Coloring Book: Rolling Back Dignity,,4.7,78,Andrew Kipple,11.99,Paperback,2019,Non Fiction
"Great Gatsby, the; (Us Import Ed.)",F. Scott Fitzgerald,4.4,79,"14,097",7.1,Paperback,2019,Fiction
The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat,,4.8,80,America’s Test Kitchen Kids,10.44,Hardcover,2019,Non Fiction
